id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
16ARJ5SEhVoIOTbbGwg76E,"$100,000 In Pennies","Bobby Bare Sings Lullabys, Legends And Lies (And More)","[""Bobby Bare""]",1973,Country,13,Sad,english,2.06529867866014
4MOq4v03k1IvbKc7D2JDXK,$1000 Wedding,A Horse with No Name: Best Folk Rock Ever,"[""Gram Parsons""]",2018,Country,3,Sad,english,1.541057341542433
67nZEOZ5re0q0IueyF1dKc,$1000 Wedding - 2002 Remaster,Grievous Angel,"[""Gram Parsons""]",1974,Country,30,Sad,english,1.541057341542433
39gDLHLJUhpcHe621gsNxX,"$2,400,000",SCRAMBLES,"[""Bomb the Music Industry!""]",2009,Folk,0,Sad,english,1.6003329778848392
5u37fwtwpniOYtOzw11zhM,$20 Mints,$20 Mints,"[""Niiice.""]",2018,Rock,0,Sad,english,1.454117727218204
2Hpmmt0r7CmpoLHHVlsfGb,$29.00,Blue Valentine (Remastered),"[""Tom Waits""]",1978,Folk,31,Sad,english,2.184909901056676
69RL9sNHX7LGkJx3EWMpFA,$35,Pedals,"[""The Aluminum Group""]",1999,Pop,0,Sad,english,1.6891105320821724
6mGrCx2T12r6hZ58xpi1Lw,$7,Better by Now,"[""Benjamin Dakota Rogers""]",2019,Folk,11,Sad,english,1.7405279275362395
48YPDmhRIQRiusm5uCz5gX,$TING,The Love Collection,"[""The Neighbourhood""]",2013,Rock,59,Sad,english,2.093089445542983
5zAnyMbSSHf6PjRDvIAf98,&,Everything So Far,"[""Pinegrove""]",2015,Electronic,5,Sad,english,1.7210963995983748
3pUvMtgoYRVHeVmE47x8ZM,& She Drinks Tea Just for the Company,Warm Terracotta,"[""Edwin Raphael""]",2023,Folk,23,Sad,english,1.4749471848498912
7z9diQlV4w8ahJOd2KI2rL,&.,Swimming/&.,"[""Le Youth""]",2020,Electronic,27,Sad,german,2.640025371025522
7j8mW4Di9sY1HvkrcnYl7y,' Cello Song,' Cello Song,"[""Fontaines D.C.""]",2023,Rock,47,Sad,english,2.269848325658132
6mcLvtWDfPyQDltPAj2Z7Q,'01: Have You Seen It in the Snow?,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,33,Sad,english,2.086037096497001
2AmHJHdRIXUu4gjBYJmzti,'02: Be True to Your Bar,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,10,Sad,english,2.381267159114888
4CYTOBEmlDXjw34rmies5v,"'06: ""Quotes""",50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,5,Sad,english,1.0411038380802076
3QRe9cj1bLf55oQjoBhvbo,'13: Big Enough for Both of Us,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,8,Sad,english,3.3179939648925205
4B1PpjpP1nl5ksucCw6SR5,'39,A Night At The Opera,"[""Queen""]",1975,Rock,0,Sad,english,1.753581189570729
65NTcXUtOb27NHKQ4fAcw0,'39 - Remastered 2011,A Night At The Opera (Deluxe Edition 2011 Remaster),"[""Queen""]",1975,Rock,56,Sad,english,1.707021953666429
2cG5SteTq3agEiGzoXOa14,'66: Wonder Where I'm From,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,13,Sad,english,3.3771462367744105
4Hq3ZYml7RLPYKcm8AA3Bn,'68 Fastback,American Heartbreak,"[""Zach Bryan""]",2022,Country,64,Sad,english,2.22265316093453
3MeCyqNxqIPZtPGZCIvyC9,'68 Fastback - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),"[""Zach Bryan""]",2022,Country,44,Sad,english,3.02443451463967
3XSmaFNg87VuralouTs5yf,'68: A Cat Called Dionysus,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,16,Sad,english,1.5998321586397264
2TU0T3mK6Th2UFPN2Mdx1F,'69 Corvette (feat. Mark O' Connor),Dixie Blur,"[""Jonathan Wilson"", ""Mark O'Connor""]",2020,Country,0,Sad,english,1.4806582321926065
0USvVJCZLRjW4jvOXzVXzC,'69: Judy Garland,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,12,Sad,english,2.1756151307076323
5XOiKM3Ssx1St0bk718opQ,'70: They're Killing Children Over There,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,11,Sad,english,1.135291446307362
7lhe90q0zwaKYMuwCMKWfM,'71: I Think I'll Make Another World,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,14,Sad,english,2.4043389625943354
1w94Nh2hGrZV9IbhbZQ2wN,'72: Eye Contact,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,10,Sad,english,2.618949481264306
5wXyMkBT8qNpAwAsYC2nLW,'74: No,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,13,Sad,english,2.1418959055248714
4lllHvc8ZUOF65SVrbRPEu,'75: My Mama Ain't,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,10,Sad,english,2.882101837864273
5ZEmcwm0em1XsSyF5kgI7T,'79,Super Treatment,"[""Heavy Cream""]",2012,Rock,0,Sad,english,2.9497519213799506
1QOgRY51zLOHz8eOYWlF4Q,'81: How to Play the Synthesizer,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,10,Sad,english,1.6532998066482467
5gA111NVSExnrOdZ8L0GFv,'86: How I Failed Ethics,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,12,Sad,english,1.909598307477144
6Yb8IRDqF8Jhzr9CiCTJBP,'87: At the Pyramid,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,8,Sad,english,1.301034128930747
0zc8jr0r29wkIDtebgwcUp,'88: Ethan Frome,50 Song Memoir,"[""The Magnetic Fields""]",2017,Pop,8,Sad,english,1.5475097678395249
5NHr5IDxY2k42Xm2I6KzNL,'93 Heap,Wooden Cave,"[""Thin Lear""]",2020,Pop,0,Sad,english,1.2181316488217675
6UuqotWnq3jkjWqOn6aEkC,'Bout It,JMSN,"[""JMSN""]",2014,R&B,0,Sad,english,1.441755734738291
1u0zZAXlVIcMqBDBpsZecV,'Cause Cheap Is How I Feel,The Caution Horses,"[""Cowboy Junkies""]",1990,Country,34,Sad,english,2.0205277998334816
25z0QF3ANJPVM04fTbty45,'Cause I Love You,Spark Of Love (Expanded Edition),"[""Lenny Williams""]",1978,R&B,57,Sad,english,0.884948322185728
3XgY0IvIPXsr5EBpVQAAdL,'Cause Of You,'Cause Of You,"[""Secret Garden"", ""Cathrine Iversen"", ""Espen Grjotheim""]",2021,Classical,23,Sad,english,1.179269743977562
47pnxjQmIPlLgy4JTBmmMZ,'Cept You & Me Babe,Covenant,"[""Greg Brown""]",2000,Folk,32,Sad,english,1.2218676204354697
3TeT3nr0eQfsPOp1HPfGMc,'Cross the Green Mountain - from 'Gods and Generals' OST,Tell Tale Signs: The Bootleg Series Vol. 8 (Deluxe Edition),"[""Bob Dylan""]",2008,Folk,24,Sad,english,1.4117851965430404
1P335Anzhef9a21HofENTZ,'Cuz I'm Here,The Phenomenal Ruthie Foster,"[""Ruthie Foster""]",2007,Blues,6,Sad,english,1.4254605457087122
1o589IayQZU4FkgDFUgTaV,'Deed I Do,It's A Good Day,"[""Peggy Lee""]",2004,Jazz,0,Sad,english,3.25737839056737
54fqCkrRP3X6tlrmRuXTXk,'Deed I Do,Lena Horne Sings: The M-G-M Singles,"[""Lena Horne""]",2010,Jazz,26,Sad,english,1.8773032683339668
57GSrxX6cbkvs7dVUs2RVv,'Deed I Do - Remastered 1993,The Nat King Cole Trio - The Complete Capitol Transcription Sessions,"[""Nat King Cole Trio""]",2005,Jazz,43,Sad,english,3.0582291939566826
55AzAQsVJY8W4tzRhGQYaF,'Frisco Town,Pickin' the Blues,"[""Memphis Minnie""]",2000,Blues,0,Sad,english,2.7751116520003185
6EkMKs4lIA9DGmmDcx4CdP,"'Ille Dhuinn, 'S Toigh Leam Thu",Cuilidh,"[""Julie Fowlis""]",2007,Folk,0,Sad,english,2.164247743537213
3HhEScV90AFQ3HoNcXsJjb,'Neath A Cold Gray Tomb Of Stone,The Complete Hank Williams,"[""Hank Williams""]",1998,Country,7,Sad,english,2.50772290202646
4eEz1QuWOudsLmiIyxyYdQ,'Need Your Love,Two Feet Tall,"[""Hobbit""]",1999,Rock,0,Sad,english,1.5852156206174186
33nFpxA8wfc2dKw5lFw7PF,'Round Midnight,'Round Midnight,"[""Karrin Allyson""]",2011,Jazz,21,Sad,english,2.086215893764102
4Mhm5TQ8daZ6YtrDJORlM6,'Round Midnight,Big Sugar,"[""Big Sugar""]",1992,Rock,0,Sad,english,2.3116458663303137
6rlqNxNTuK3elWsYjc4psh,'Round Midnight,'Round Midnight,"[""Adam Blackstone"", ""Jazmine Sullivan""]",2022,Hip-Hop,28,Sad,english,2.179451481125376
5RSXReQAtEicL9PhQphKw2,'Round Midnight - Alternative Version,Carmen Sings Monk,"[""Carmen McRae""]",1988,Jazz,5,Sad,english,2.568682084017402
1y1QzL2PfuU0kUJfwkL8iB,'Round Midnight - Remastered 2001,Carmen Sings Monk,"[""Carmen McRae""]",1988,Jazz,13,Sad,english,1.634604939295429
0EavT3QzOcadqyUrvihsXa,'S Wonderful,After The Ball,"[""Christine Ebersole""]",2022,Classical,0,Sad,english,1.9985111669069284
0SRrkXT35eLY3wUIqOC9ca,'S Wonderful,Easy Living Series--Essential Jazz Bossa,"[""John Pizzarelli""]",1998,Jazz,4,Sad,english,1.3400107841830216
3P5sCNKkhKBdbaiwXTFhm7,'S Wonderful,Big Band: Swingin' Through The Night (Bluebird's Best Series),"[""Artie Shaw""]",2002,Jazz,0,Sad,english,2.810434206026805
3VZwP7d1U7tuQjb9JZrSRF,'S Wonderful,The Look Of Love,"[""Diana Krall""]",2001,Jazz,59,Sad,english,1.354593527946134
4tqGZzY8YmngfaTqUAHENj,'S Wonderful,Love Is Here To Stay,"[""Tony Bennett"", ""Diana Krall""]",2018,Jazz,51,Sad,english,1.789180670417695
6OG1deJRYgESfgLytCUEU8,'S Wonderful,An American in Paris (Original Broadway Cast Recording),"[""Brandon Uranowitz"", ""Max Von Essen"", ""Robert Fairchild"", ""An American in Paris Orchestra"", ""Todd Ellison"", ""Leanne Cope"", ""Jill Paice""]",2015,Classical,17,Sad,english,2.564166325003537
7v4cfzArumY9BXyFkx5E2P,'S Wonderful (Bonus Track),Way Down Low,"[""Kat Edmonson""]",2012,Jazz,22,Sad,english,2.8143017630168425
55pQPRerkQoaraCQaRAihu,'S Wonderful (feat. Dave Grusin),Stardust...The Great American Songbook III,"[""Rod Stewart"", ""Dave Grusin""]",2004,Rock,33,Sad,english,1.1064290406943458
4SIpkkL3gvdEiVvqzcJYCD,'S Wonderful - Re-Recording,20 Best of Big Bands,"[""The BBC Big Band Orchestra""]",2006,Jazz,9,Sad,english,1.7702641351532231
6SVMrke6GfTo8VFWaDH8Yu,'Tain't Nobody's Biz'ness If I Do,The Last Of The Blue Devils,"[""Jay McShann""]",2005,Blues,32,Sad,english,2.2598200228453025
2AZgaYZSwUosJD71J2N2Zo,'Tain't Nobody's Bizness If I Do,The Best of Bessie Smith,"[""Bessie Smith""]",2015,Blues,25,Sad,english,2.224762376829532
0ti2p9kRhigqLOvalNaqbC,'Til Him,The Producers (Original Motion Picture Soundtrack),"[""Various Artists"", ""Mel Brooks""]",2005,Pop,8,Sad,english,2.088078547143523
6PvkgNl39geFWiBMzEeWjM,'Til Him,The Producers (Original Broadway Cast Recording),"[""Nathan Lane"", ""Matthew Broderick"", ""The Producers Ensemble"", ""Original Broadway Cast of The Producers""]",2001,Classical,21,Sad,english,4.860527796252736
1Tg8HD9JMAsWGqGRdtx2ig,'Til I Can Make It On My Own,Anniversary: 20 Years Of Hits The First Lady Of Country Music,"[""Tammy Wynette""]",1972,Country,5,Sad,english,1.336677754682606
4i6GehyHesxqOzRhpE1eWU,'Til I Can Make It On My Own,Timeless,"[""Martina McBride""]",2005,Country,18,Sad,english,1.320767528103743
543KtBPRcnYdv5ALGhvGDP,'Til I Can Make It On My Own,Classics,"[""Kenny Rogers"", ""Dottie West""]",1979,Country,46,Sad,english,1.6263568709639071
7q1XZUK2dSFDIo9JNfHyXf,'Til I Can Make It On My Own,One Voice,"[""Billy Gilman""]",2000,Country,18,Sad,english,1.7933309112436824
0aJHZYjwbfTmeyUWF7zGxI,'Til I Can Make It on My Own,The Essential Tammy Wynette,"[""Tammy Wynette""]",2013,Country,41,Sad,english,1.4299591298175771
7meFIfVCf3WBnLh8L6eNKt,'Til I Can't Take It Anymore,Behind Closed Doors,"[""Charlie Rich""]",1972,Country,23,Sad,english,2.025863158663931
1qxhOnKOLxzMMME2RPS16H,'Til I Die,"""Feel Flows"" The Sunflower & Surf’s Up Sessions 1969-1971 (Super Deluxe)","[""The Beach Boys""]",2021,Rock,17,Sad,english,3.183245626511264
2Uup75DRkJ03P91XyITXGC,'Til I Die - Remastered 2009,Surf's Up,"[""The Beach Boys""]",1971,Rock,44,Sad,english,2.73486749760782
6TahlrQfjIPSXqEuib13BO,'Til I Fell in Love with You - Version 1,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)","[""Bob Dylan""]",1997,Folk,12,Sad,english,2.110067687992152
0sbG6WE2tzVUB7dvJ7Imsa,'Til I Found You,Freestyle Greatest Hits,"[""Freestyle""]",2005,Rock,0,Sad,english,1.5412899994129698
71IPal9NaZV1WPhsD6esDl,'Til I Gain Control Again (Interview),The Essential Rodney Crowell,"[""Rodney Crowell""]",2004,Country,6,Sad,english,1.8695768002215911
1et0SDLLBKDlkHH3SCRASq,'Til I Get It Right,Country Club,"[""John Doe"", ""The Sadies""]",2009,Country,0,Sad,english,2.443851883240269
64s3ywG24Rkgum7qIIA6wO,'Til I Get It Right,The Essential Tammy Wynette,"[""Tammy Wynette""]",2013,Country,30,Sad,english,1.4083657457218717
392IvVy90QxPAxebomSyoJ,'Til I Loved You,RCA Country Legends,"[""Restless Heart""]",2003,Country,14,Sad,english,0.95238381992918
6o9TQsNkDaxxiGUKmDMNQV,'Til I Reach Home,Something's About To Change,"[""Robin Trower""]",2015,Blues,1,Sad,english,1.7976633803913935
1jIEixS9ksvbasOrbmgPZl,'Til It Runs Dry,The Highway,"[""Holly Williams""]",2013,Country,20,Sad,english,2.138490125023196
4W2ACWXyREPjmABTxhkhX6,'Til It's Over,You Don't Own Me Anymore,"[""The Secret Sisters""]",2017,Country,0,Sad,english,3.343179493481987
4DsUzEEk3MwQFI0d112IhR,'Til Love Comes Again,50 Greatest Hits,"[""Reba McEntire""]",2008,Country,15,Sad,english,1.2764258662836376
53LUshaFbeB2rjhEkBI54S,'Til The Day After,The Emitt Rhodes Recordings (1969-1973),"[""Emitt Rhodes""]",1973,Pop,33,Sad,english,1.5471095420919083
2aYXmwZi5cqDp3vuPqyiWn,'Til The Early Morning,Alive at the Ladybug House,"[""Vic Ruggiero""]",2006,Folk,10,Sad,english,1.600007044849869
7hdkfAr8uZeNDeWVGGENOS,'Til The End Of Time,Grave Disorder,"[""The Damned""]",2001,Rock,11,Sad,english,1.7227273591892522
3dN4p9ihhBZEUYMIOqSGrs,'Til The Heartache's Gone,One More Day,"[""Diamond Rio""]",2001,Country,13,Sad,english,1.0452730895194078
2EWds3jc9EGxayb31UPsuZ,'Til The Season Comes 'Round Again,The Gift,"[""Kenny Rogers""]",1996,Country,36,Sad,english,1.4641421258439646
3MHLBbvyviCzmt6qV4eCdy,'Til The Storm Passes By,Special Anniversary Collection,"[""Gaither Vocal Band""]",2018,Country,8,Sad,english,2.018154213543289
3tpHf0q2BjkEB4ghENFoIo,'Til They Take My Heart Away,Let It Go,"[""Clair Marlo""]",1989,Pop,65,Sad,english,1.4194001546143888
4QF3xmpShtQjf4CIXAUXOP,'Til Tomorrow,Midnight Love,"[""Marvin Gaye""]",1982,R&B,33,Sad,english,1.7040507317154123
79kSICGWZBR9LPf70HqN6N,'Til You And Your Lover Are Lovers Again,Super Hits,"[""Engelbert Humperdinck""]",1980,Pop,7,Sad,english,2.439794731768652
0kQ8IXa4K3BiPnvecqqO78,'Til You Come By Here,It Won't Be Long,"[""Fruition""]",2012,Country,39,Sad,english,1.6527066289859669
3kGMziz884MLV1oCwrarmN,'Til You Do Me Right,Reflections,"[""After 7""]",1995,R&B,50,Sad,english,2.0994979260736257
2k74edwvMzEVufQXmm6cIN,'Til a Tear Becomes a Rose,Greatest Hits,"[""Lorrie Morgan"", ""Keith Whitley""]",1995,Country,44,Sad,english,1.830364284413464
4WuJEmipu8rFAdgxDsuFC0,'Til the Next Full (eyes),12 Little Spells,"[""Esperanza Spalding""]",2018,Jazz,0,Sad,english,2.077299328905308
7vVywc6HuOtPzwdMkSxhI2,'Till Forever,Crying Laughing Loving Lying,"[""Labi Siffre""]",1972,Pop,51,Sad,english,2.226191321750651
2B6to1iXNUvbrCcNN7q2Jd,'Till The Rivers All Run Dry,Harmony,"[""Don Williams""]",1976,Country,49,Sad,english,1.649671344105195
3zkNVLmxDkWzxdrz4b5H4r,'Till There Was You,As Time Goes By...The Great American Songbook: Volume II,"[""Rod Stewart""]",2003,Rock,36,Sad,english,1.183535055377099
0OFzGWNvMR7qvRsD14dxIT,'Tis Autumn,The Complete Capitol Recordings Of The Nat King Cole Trio,"[""Nat King Cole Trio""]",1993,Jazz,64,Sad,english,3.087511328843797
2xB3DyedQvwGrL4uq4HpRX,'Tis Autumn,The Boy Next Door,"[""Stacey Kent"", ""David Newton"", ""Jim Tomlinson"", ""Dave Chamberlain"", ""Matt Home""]",2003,Jazz,0,Sad,english,1.8814583414156287
5IFPBEuZtelfy2P8pmC6Ry,'Tis So Sweet,My Heart Depends On You,"[""Shea Norman""]",2004,R&B,17,Sad,english,1.8893975387747304
6nzGpo7BWrZdDNm88IGJ8n,'Tis So Sweet - Live,"The Commissioned Reunion - ""Live""","[""Commissioned""]",2002,R&B,12,Sad,english,4.001644321742275
1ZNB4PPFfiAMwCRunSW8tP,'Tis So Sweet To Trust In Jesus,Even When My Heart Is Breaking,"[""Matthew Smith""]",2004,Folk,5,Sad,english,2.152509748345169
4S30QyK0Beib24tWmh4sPr,'Tis So Sweet To Trust In Jesus,Precious Memories,"[""Alan Jackson""]",2006,Country,47,Sad,english,1.7216327816372856
65qJQlUnY93qexeIsoxVdB,'Tis So Sweet To Trust In Jesus,An A Cappella Hymns Collection,"[""The Martins""]",2005,Country,8,Sad,english,2.472629373275653
68QjFdBRwqWSgfxRnEu9SZ,'Tis So Sweet To Trust In Jesus,Glorious Day: Hymns of Faith,"[""Casting Crowns""]",2015,Pop,44,Sad,english,1.683100552754779
4rs3pSd1ZJnNTMCkzSTqkq,'Tis so Sweet,Gordon Mote Sings Hymns and Songs of Inspiration,"[""Gordon Mote""]",2015,Country,7,Sad,english,1.6590769713749254
1ltEKPzzq2gTdMk0S0mW9q,'Tis so Sweet to Trust in Jesus,Lifetime,"[""Mark Trammell Quartet""]",2012,Country,3,Sad,english,2.3733496610926816
2ylv0sxmOqRH4N5XPsXezC,'Twas the Night Before Christmas,Christmas Sing-Along,"[""Sing n Play""]",2013,Folk,0,Sad,english,3.3048422194351774
1Rq33z9rO0SppsM39lXmhZ,'s Wonderful,Let Yourself Go,"[""Stacey Kent""]",2000,Jazz,0,Sad,english,2.010972702844167
21yc4VPwqaTXCu52FzACcv,'tain't What You Do,Skylark,"[""Annie Ross""]",1996,Jazz,0,Sad,english,2.5636675297791984
7vdKsfQK1ycmerARG1Ahyc,('Til) I Kissed You - (Single Version) [Remastered 2006],Play - 50s Music,"[""The Everly Brothers""]",2017,Rock,1,Sad,english,2.013632900951808
