id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
2V8eWuTAztIVI5fqwv8OlZ,Burned Out,Beheaded,"[""Bedhead""]",1996,Rock,0,Calm,english,2.120143421483004
3ki40MVelts4nGXRMvhHyq,Burning,Red Yellow Sun,"[""Sarah Fimm""]",2009,Electronic,0,Calm,english,2.318500516636961
5EXk9CjT4wljOQils0L4ek,Burning Beauties,"Songs About Death and Dying, Vol. 3 / OCS 4: Get Stoved","[""OCS""]",2005,Rock,0,Calm,english,1.384831830452565
0iZxj9QTUCbjialos8lDjc,Burning Bridges,Grave Blockers,"[""Thee Oh Sees""]",2006,Rock,9,Calm,english,1.869377367465447
1mSgL1nz3oT5ZL7Ez4Jl67,But Beautiful,Love's Holiday,"[""Dena DeRose"", ""Brian Lynch"", ""Joe Locke"", ""Bill Charlap""]",2002,Jazz,0,Calm,english,2.266468148494862
7p9OLeV07n0tIQJS649Nus,But Beautiful,"Nat ""King"" Cole & Me (Deluxe)","[""Gregory Porter""]",2017,Jazz,32,Calm,english,3.0926314333260487
5RnUVnw7hL7GWlPjeO8XQy,But Beautiful - Live,Getting Sentimental,"[""Bill Evans""]",2003,Jazz,3,Calm,english,4.302664205365515
64nV4JZ5LAleONUC3yV7mj,But Beautiful - Remastered 2002/Rudy Van Gelder Edition,Open Sesame (The Rudy Van Gelder Edition),"[""Freddie Hubbard""]",2002,Jazz,31,Calm,english,1.3715428598640906
4gX8deZ0bjGhlKaDIMN4cg,But Not For Me,Gershwin For Lovers,"[""Marcus Roberts""]",1994,Jazz,4,Calm,english,2.007489301733235
0Xz6yQfe42WfHrBIpCmT24,But Not For Me - Remastered 2000,Introducing Kenny Burrell: The First Blue Note Sessions,"[""Kenny Burrell""]",2000,Jazz,6,Calm,english,0.8477303358450256
2bjFudA507731jyhrsWHsX,But Not for Me,Trilogy,"[""Tal Farlow""]",2009,Jazz,1,Calm,english,1.0790939770036574
6nem7uYGz6srJVXRB0L93R,But Not for Me,When Harry Met Sally... Music From The Motion Picture,"[""Harry Connick, Jr.""]",1989,Jazz,33,Calm,english,4.304719584785491
2O8CJE7cKCVzPwwaA1u7Rt,But not for me,The Touch Of Your Lips,"[""Chet Baker""]",1986,Jazz,26,Calm,english,2.066505851735822
22yxR09cYIuD8aeT3TfJlu,Butterfly Caught,100th Window,"[""Massive Attack""]",2003,Electronic,43,Calm,english,2.988204892667237
4oNOJ3UfDgkLeo8tQu9LSD,Butterfly Mornings,Bavarian Fruit Bread,"[""Hope Sandoval & The Warm Inventions""]",2001,Pop,43,Calm,english,1.9471827102145816
5KUHsXqLBQJrpHfrh2PeYn,Buttons,Mr. M,"[""Lambchop""]",2012,Country,0,Calm,english,2.021892915185037
3pRqVfIM5i3P8poiZqqjaG,Buxom,Tangerine Reef,"[""Animal Collective""]",2018,Rock,7,Calm,english,2.7601843135870228
